Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Food 1,Common,Food,Food Extra 2,Food Extra 3,,,1
Food 2,Common,Food,Food Extra 1,Food Extra 2,,,1
Food 3,Common,Food,Food 1,Food 2,Food Extra 1,Food Extra 3,2
Food 4,Common,Food,Food 2,Food Extra 3,,,2
Food 5,Common,Food,Food 1,Food 2,Food 2,Food Extra 1,2
Food Extra 4,Common,Food,Food 2,Food 2,Food 3,,3
Food 6,Common,Food,Food 4,Food 5,,,3
Food 7,Common,Food,Food 3,Food 5,Food 6,,4
Food 8,Common,Food,Food 3,Food 3,Food 4,Food Extra 4,4
Food Extra 5,Common,Food,Food 4,Food 4,Food 4,,4
Food 9,Common,Food,Food 8,Food 8,,,5
Food 10,Common,Food,Food 7,Food 8,Food Extra 5,Food Extra 5,5
Food 11,Common,Food,Food 7,Food 8,Food 9,,6
Food 12,Common,Food,Food 10,Food 7,,,6
Food 13,Rare,Food,Food 11,Food 12,,,7
Food 14,Rare,Food,Food 9,Food 9,,,7
Food Extra 6,Rare,Food,Food 10,Food 11,Food 9,,7
Food 15,Rare,Food,Food 13,Food 13,Food Extra 6,,8
Food 16,Rare,Food,Food 11,Food 11,Food 14,,8
Food 17,Rare,Food,Food 15,Food 15,Food 16,,9
Food 18,Rare,Food,Food 13,Food 16,,,9
Food 19,Rare,Food,Food 15,Food 15,Food 16,Food Extra 6,9
Food Extra 7,Rare,Food,Food 17,Food 17,Food 18,,10
Food 20,Rare,Food,Food 19,Food 19,,,10
Food 21,Rare,Food,Food 20,Food Extra 7,Food Extra 7,,11
Food 22,Rare,Food,Food 18,Food 18,Food 20,Food Extra 7,11
Food 23,Epic,Food,Food 20,Food 20,Food 21,Food Extra 7,12
Food 24,Epic,Food,Food 21,Food 22,Food 22,,12
Food 25,Epic,Food,Food 21,Food 22,,,12
Food Extra 8,Epic,Food,Food 23,Food 23,Food 25,,13
Food 26,Epic,Food,Food 24,Food 25,,,13
Food 27,Epic,Food,Food 24,Food 25,Food 26,,14
Food Extra 9,Epic,Food,Food 26,Food Extra 8,Food Extra 8,,14
Food 28,Epic,Food,Food 24,Food Extra 8,,,14
Food 29,Legendary,Food,Food 27,Food 28,Food Extra 9,,15
Food 30,Legendary,Food,Food 28,Food Extra 9,,,15
