Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Machine 1,Common,Machine,Machine Extra 1,Machine Extra 2,Machine Extra 3,Machine Extra 3,1
Machine 2,Common,Machine,Machine Extra 1,Machine Extra 1,Machine Extra 2,Machine Extra 3,1
Machine 3,Common,Machine,Machine 2,Machine 2,,,2
Machine 4,Common,Machine,Machine 2,Machine Extra 2,,,2
Machine 5,Common,Machine,Machine 1,Machine Extra 1,Machine Extra 1,Machine Extra 3,2
Machine Extra 4,Common,Machine,Machine 3,Machine 3,,,3
Machine 6,Common,Machine,Machine 1,Machine 4,,,3
Machine 7,Common,Machine,Machine 3,Machine 6,Machine Extra 4,,4
Machine 8,Common,Machine,Machine 4,Machine 5,Machine 6,,4
Machine Extra 5,Common,Machine,Machine 7,Machine Extra 4,,,5
Machine 9,Common,Machine,Machine 8,Machine 8,Machine 8,,5
Machine 10,Common,Machine,Machine 6,Machine 8,Machine 8,Machine Extra 4,5
Machine 11,Common,Machine,Machine 10,Machine 7,Machine Extra 5,Machine Extra 5,6
Machine 12,Common,Machine,Machine 10,Machine 7,,,6
Machine 13,Rare,Machine,Machine 11,Machine 11,,,7
Machine 14,Rare,Machine,Machine 10,Machine 12,Machine 12,Machine Extra 5,7
Machine Extra 6,Rare,Machine,Machine 12,Machine 12,Machine 12,Machine 9,7
Machine 15,Rare,Machine,Machine 11,Machine 13,Machine 13,Machine 14,8
Machine 16,Rare,Machine,Machine 12,Machine Extra 6,Machine Extra 6,,8
Machine 17,Rare,Machine,Machine 15,Machine 15,Machine 15,Machine 16,9
Machine 18,Rare,Machine,Machine 15,Machine 16,,,9
Machine 19,Rare,Machine,Machine 14,Machine Extra 6,Machine Extra 6,,9
Machine Extra 7,Rare,Machine,Machine 17,Machine 18,,,10
Machine 20,Rare,Machine,Machine 16,Machine 17,Machine 19,,10
Machine 21,Rare,Machine,Machine 20,Machine 20,,,11
Machine 22,Rare,Machine,Machine 19,Machine 20,Machine Extra 7,,11
Machine 23,Epic,Machine,Machine 22,Machine 22,Machine 22,Machine Extra 7,12
Machine 24,Epic,Machine,Machine 21,Machine 22,,,12
Machine 25,Epic,Machine,Machine 22,Machine 23,Machine 23,Machine 23,13
Machine Extra 8,Epic,Machine,Machine 21,Machine 24,Machine 24,,13
Machine 26,Epic,Machine,Machine 21,Machine 21,Machine 21,Machine 21,13
Machine 27,Epic,Machine,Machine 25,Machine 25,Machine 25,,14
Machine Extra 9,Epic,Machine,Machine 25,Machine Extra 8,,,14
Machine 28,Epic,Machine,Machine 26,Machine 26,,,14
Machine 29,Legendary,Machine,Machine 25,Machine Extra 9,,,15
Machine 30,Legendary,Machine,Machine 28,Machine Extra 9,,,15
