Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Magic Extra 3,Common,Magic,Magic Extra 1,Magic Extra 1,,,1
Magic 1,Common,Magic,Magic Extra 1,Magic Extra 2,Magic Extra 2,,1
Magic 2,Common,Magic,Magic Extra 3,Magic Extra 3,,,2
Magic 3,Common,Magic,Magic 1,Magic 1,Magic 1,,2
Magic 4,Common,Magic,Magic Extra 1,Magic Extra 2,,,2
Magic 5,Common,Magic,Magic 1,Magic Extra 1,,,2
Magic Extra 4,Common,Magic,Magic 1,Magic 4,,,3
Magic 6,Common,Magic,Magic 3,Magic 3,Magic 4,,3
Magic 7,Common,Magic,Magic 5,Magic Extra 4,Magic Extra 4,Magic Extra 4,4
Magic 8,Common,Magic,Magic 2,Magic 6,,,4
Magic Extra 5,Common,Magic,Magic 4,Magic 5,Magic 5,,4
Magic 9,Common,Magic,Magic 7,Magic Extra 5,Magic Extra 5,,5
Magic 10,Common,Magic,Magic 7,Magic Extra 5,,,5
Magic 11,Common,Magic,Magic 10,Magic 7,Magic Extra 5,,6
Magic 12,Common,Magic,Magic Extra 5,Magic Extra 5,,,6
Magic 13,Rare,Magic,Magic 10,Magic 10,Magic 10,,7
Magic 14,Rare,Magic,Magic 12,Magic 12,,,7
Magic Extra 6,Rare,Magic,Magic 11,Magic 11,,,8
Magic 15,Rare,Magic,Magic 11,Magic 13,Magic 14,Magic 14,8
Magic 16,Rare,Magic,Magic 13,Magic 13,Magic 14,Magic Extra 6,9
Magic 17,Rare,Magic,Magic 13,Magic 15,Magic Extra 6,,9
Magic 18,Rare,Magic,Magic 14,Magic 14,Magic 14,Magic Extra 6,9
Magic 19,Rare,Magic,Magic 17,Magic 18,,,10
Magic Extra 7,Rare,Magic,Magic 16,Magic 16,Magic 17,Magic 18,10
Magic 20,Rare,Magic,Magic Extra 7,Magic Extra 7,,,11
Magic 21,Rare,Magic,Magic 16,Magic 17,Magic 18,Magic 19,11
Magic 22,Rare,Magic,Magic 16,Magic 18,Magic 19,Magic 19,11
Magic 23,Epic,Magic,Magic 19,Magic 20,Magic 22,Magic 22,12
Magic 24,Epic,Magic,Magic 21,Magic 21,Magic 21,,12
Magic 25,Epic,Magic,Magic 20,Magic 20,Magic 22,Magic 22,12
Magic Extra 8,Epic,Magic,Magic 23,Magic 24,Magic 24,,13
Magic 26,Epic,Magic,Magic 23,Magic 25,,,13
Magic 27,Epic,Magic,Magic 21,Magic 22,Magic 22,Magic 23,13
Magic Extra 9,Epic,Magic,Magic 25,Magic 26,Magic 27,Magic Extra 8,14
Magic 28,Epic,Magic,Magic 23,Magic 26,Magic 26,Magic 27,14
Magic 29,Legendary,Magic,Magic 28,Magic Extra 9,,,15
Magic 30,Legendary,Magic,Magic Extra 9,Magic Extra 9,,,15
