Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Mineral 1,Common,Mineral,Mineral Extra 1,Mineral Extra 1,Mineral Extra 3,,1
Mineral 2,Common,Mineral,Mineral Extra 1,Mineral Extra 2,,,1
Mineral 3,Common,Mineral,Mineral Extra 1,Mineral Extra 2,Mineral Extra 2,Mineral Extra 3,1
Mineral 4,Common,Mineral,Mineral 1,Mineral 3,Mineral Extra 1,,2
Mineral 5,Common,Mineral,Mineral 2,Mineral 3,Mineral 3,Mineral Extra 1,2
Mineral Extra 4,Common,Mineral,Mineral 4,Mineral 4,Mineral 4,Mineral 5,3
Mineral 6,Common,Mineral,Mineral 1,Mineral 1,Mineral 2,,3
Mineral 7,Common,Mineral,Mineral 4,Mineral 5,,,3
Mineral 8,Common,Mineral,Mineral 6,Mineral 7,Mineral Extra 4,,4
Mineral Extra 5,Common,Mineral,Mineral Extra 4,Mineral Extra 4,,,4
Mineral 9,Common,Mineral,Mineral Extra 5,Mineral Extra 5,,,5
Mineral 10,Common,Mineral,Mineral 8,Mineral 8,Mineral Extra 4,,5
Mineral 11,Common,Mineral,Mineral 10,Mineral 8,Mineral 9,,6
Mineral 12,Common,Mineral,Mineral 8,Mineral 9,Mineral Extra 5,,6
Mineral 13,Rare,Mineral,Mineral 11,Mineral 9,,,7
Mineral 14,Rare,Mineral,Mineral 10,Mineral 10,Mineral 11,Mineral 9,7
Mineral Extra 6,Rare,Mineral,Mineral 12,Mineral 13,Mineral 13,Mineral 13,8
Mineral 15,Rare,Mineral,Mineral 12,Mineral 13,Mineral 14,Mineral 14,8
Mineral 16,Rare,Mineral,Mineral 13,Mineral 15,Mineral 15,,9
Mineral 17,Rare,Mineral,Mineral 13,Mineral 14,Mineral Extra 6,,9
Mineral 18,Rare,Mineral,Mineral 15,Mineral 15,Mineral 17,Mineral Extra 6,10
Mineral 19,Rare,Mineral,Mineral 15,Mineral 16,,,10
Mineral Extra 7,Rare,Mineral,Mineral 16,Mineral 16,Mineral 17,,10
Mineral 20,Rare,Mineral,Mineral Extra 7,Mineral Extra 7,,,11
Mineral 21,Rare,Mineral,Mineral 16,Mineral 19,Mineral 19,Mineral Extra 7,11
Mineral 22,Rare,Mineral,Mineral 16,Mineral 19,Mineral Extra 7,,11
Mineral 23,Epic,Mineral,Mineral 18,Mineral 20,,,12
Mineral 24,Epic,Mineral,Mineral 20,Mineral 22,Mineral 22,,12
Mineral 25,Epic,Mineral,Mineral 21,Mineral 24,Mineral 24,,13
Mineral Extra 8,Epic,Mineral,Mineral 23,Mineral 23,,,13
Mineral 26,Epic,Mineral,Mineral 21,Mineral 24,,,13
Mineral 27,Epic,Mineral,Mineral 24,Mineral Extra 8,Mineral Extra 8,,14
Mineral Extra 9,Epic,Mineral,Mineral 23,Mineral 23,Mineral 25,,14
Mineral 28,Epic,Mineral,Mineral 25,Mineral 26,Mineral Extra 8,,14
Mineral 29,Legendary,Mineral,Mineral 28,Mineral Extra 8,Mineral Extra 8,,15
Mineral 30,Legendary,Mineral,Mineral 28,Mineral 28,Mineral Extra 9,,15
