Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Monster 1,Common,Monster,Monster Extra 1,Monster Extra 1,Monster Extra 1,Monster Extra 2,1
Monster 2,Common,Monster,Monster Extra 2,Monster Extra 3,Monster Extra 3,,1
Monster 3,Common,Monster,Monster 2,Monster Extra 2,Monster Extra 2,,2
Monster 4,Common,Monster,Monster 1,Monster 2,Monster 2,Monster Extra 1,2
Monster 5,Common,Monster,Monster 1,Monster 2,Monster 4,,3
Monster Extra 4,Common,Monster,Monster 3,Monster 3,,,3
Monster 6,Common,Monster,Monster 1,Monster 2,,,3
Monster 7,Common,Monster,Monster 6,Monster Extra 4,,,4
Monster 8,Common,Monster,Monster 3,Monster 4,Monster 5,Monster 5,4
Monster Extra 5,Common,Monster,Monster 7,Monster 7,Monster 8,,5
Monster 9,Common,Monster,Monster 6,Monster 8,,,5
Monster 10,Common,Monster,Monster 7,Monster 8,Monster Extra 4,,5
Monster 11,Common,Monster,Monster 9,Monster 9,,,6
Monster 12,Common,Monster,Monster 10,Monster 10,Monster Extra 5,,6
Monster 13,Rare,Monster,Monster 12,Monster Extra 5,,,7
Monster 14,Rare,Monster,Monster 11,Monster 12,Monster 9,,7
Monster Extra 6,Rare,Monster,Monster 10,Monster Extra 5,,,7
Monster 15,Rare,Monster,Monster 11,Monster 14,,,8
Monster 16,Rare,Monster,Monster 13,Monster 14,Monster Extra 6,,8
Monster 17,Rare,Monster,Monster 15,Monster 16,Monster 16,Monster Extra 6,9
Monster 18,Rare,Monster,Monster 14,Monster 14,Monster 16,Monster Extra 6,9
Monster 19,Rare,Monster,Monster 16,Monster 17,Monster 18,,10
Monster Extra 7,Rare,Monster,Monster 16,Monster 17,,,10
Monster 20,Rare,Monster,Monster 19,Monster Extra 7,,,11
Monster 21,Rare,Monster,Monster 18,Monster 19,,,11
Monster 22,Rare,Monster,Monster Extra 7,Monster Extra 7,,,11
Monster 23,Epic,Monster,Monster 19,Monster 22,,,12
Monster 24,Epic,Monster,Monster 20,Monster 20,,,12
Monster 25,Epic,Monster,Monster 23,Monster 24,Monster 24,Monster 24,13
Monster Extra 8,Epic,Monster,Monster 20,Monster 21,Monster 23,,13
Monster 26,Epic,Monster,Monster 20,Monster 21,Monster 24,,13
Monster 27,Epic,Monster,Monster 22,Monster 22,Monster 22,,13
Monster Extra 9,Epic,Monster,Monster 26,Monster 27,Monster Extra 8,Monster Extra 8,14
Monster 28,Epic,Monster,Monster 23,Monster 25,Monster 25,,14
Monster 29,Legendary,Monster,Monster 26,Monster 27,Monster 28,,15
Monster 30,Legendary,Monster,Monster 26,Monster 28,Monster Extra 8,Monster Extra 9,15
