Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Plant Extra 3,Common,Plant,Plant Extra 1,Plant Extra 1,,,1
Plant 1,Common,Plant,Plant Extra 2,Plant Extra 2,Plant Extra 2,Plant Extra 2,1
Plant 2,Common,Plant,Plant Extra 1,Plant Extra 1,Plant Extra 1,Plant Extra 2,1
Plant 3,Common,Plant,Plant 2,Plant Extra 1,Plant Extra 3,,2
Plant 4,Common,Plant,Plant 2,Plant Extra 3,Plant Extra 3,Plant Extra 3,2
Plant 5,Common,Plant,Plant 1,Plant 4,,,3
Plant Extra 4,Common,Plant,Plant 2,Plant 3,,,3
Plant 6,Common,Plant,Plant 3,Plant 3,Plant 4,,3
Plant 7,Common,Plant,Plant 4,Plant Extra 4,,,4
Plant 8,Common,Plant,Plant 6,Plant Extra 4,,,4
Plant Extra 5,Common,Plant,Plant 7,Plant Extra 4,,,5
Plant 9,Common,Plant,Plant 6,Plant 8,Plant Extra 4,,5
Plant 10,Common,Plant,Plant 9,Plant Extra 5,Plant Extra 5,,6
Plant 11,Common,Plant,Plant 9,Plant 9,Plant Extra 5,Plant Extra 5,6
Plant 12,Common,Plant,Plant 7,Plant 7,Plant 8,Plant 9,6
Plant 13,Rare,Plant,Plant 11,Plant Extra 5,,,7
Plant 14,Rare,Plant,Plant 10,Plant 10,Plant 11,Plant 12,7
Plant Extra 6,Rare,Plant,Plant 14,Plant 14,Plant 14,Plant 14,8
Plant 15,Rare,Plant,Plant 11,Plant 13,,,8
Plant 16,Rare,Plant,Plant 14,Plant 15,,,9
Plant 17,Rare,Plant,Plant 13,Plant 15,,,9
Plant 18,Rare,Plant,Plant 13,Plant 13,Plant 14,,9
Plant 19,Rare,Plant,Plant 17,Plant 18,,,10
Plant Extra 7,Rare,Plant,Plant 15,Plant 16,Plant 18,,10
Plant 20,Rare,Plant,Plant 15,Plant 16,Plant Extra 6,,10
Plant 21,Rare,Plant,Plant 20,Plant Extra 7,Plant Extra 7,Plant Extra 7,11
Plant 22,Rare,Plant,Plant 19,Plant 20,Plant 20,Plant 20,11
Plant 23,Epic,Plant,Plant 21,Plant 22,,,12
Plant 24,Epic,Plant,Plant 19,Plant 19,Plant 19,Plant 21,12
Plant 25,Epic,Plant,Plant 21,Plant 22,Plant 23,Plant 24,13
Plant Extra 8,Epic,Plant,Plant 24,Plant 24,Plant 24,,13
Plant 26,Epic,Plant,Plant 21,Plant 22,Plant 24,Plant 24,13
Plant 27,Epic,Plant,Plant 21,Plant 23,Plant 24,Plant 24,13
Plant Extra 9,Epic,Plant,Plant 25,Plant 25,Plant 26,Plant Extra 8,14
Plant 28,Epic,Plant,Plant 23,Plant 26,Plant 27,,14
Plant 29,Legendary,Plant,Plant 28,Plant 28,,,15
Plant 30,Legendary,Plant,Plant 25,Plant 26,Plant 28,Plant Extra 8,15
