Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Present 1,Common,Present,Present Extra 2,Present Extra 2,Present Extra 2,,1
Present 2,Common,Present,Present Extra 1,Present Extra 3,Present Extra 3,,1
Present 3,Common,Present,Present Extra 3,Present Extra 3,,,1
Present 4,Common,Present,Present 1,Present 3,Present Extra 3,,2
Present 5,Common,Present,Present 1,Present 2,Present 2,,2
Present Extra 4,Common,Present,Present 1,Present 2,Present 5,,3
Present 6,Common,Present,Present 2,Present 3,Present 4,Present 4,3
Present 7,Common,Present,Present 1,Present 2,Present 2,Present 2,3
Present 8,Common,Present,Present 5,Present 6,,,4
Present Extra 5,Common,Present,Present 4,Present 5,Present 7,Present 7,4
Present 9,Common,Present,Present 6,Present Extra 5,,,5
Present 10,Common,Present,Present 8,Present 8,Present Extra 4,Present Extra 5,5
Present 11,Common,Present,Present 10,Present Extra 5,,,6
Present 12,Common,Present,Present 8,Present 9,Present 9,,6
Present 13,Rare,Present,Present 11,Present 12,Present 12,,7
Present 14,Rare,Present,Present 11,Present 12,Present 12,Present 9,7
Present Extra 6,Rare,Present,Present 10,Present 11,,,7
Present 15,Rare,Present,Present 13,Present Extra 6,Present Extra 6,Present Extra 6,8
Present 16,Rare,Present,Present 14,Present 14,Present 14,Present 14,8
Present 17,Rare,Present,Present 15,Present 16,,,9
Present 18,Rare,Present,Present 13,Present 14,Present Extra 6,,9
Present 19,Rare,Present,Present 15,Present 17,Present 17,Present 18,10
Present Extra 7,Rare,Present,Present 16,Present 17,,,10
Present 20,Rare,Present,Present 19,Present 19,Present 19,,11
Present 21,Rare,Present,Present 19,Present 19,Present Extra 7,Present Extra 7,11
Present 22,Rare,Present,Present 18,Present 18,Present 18,,11
Present 23,Epic,Present,Present 21,Present 21,Present 22,Present Extra 7,12
Present 24,Epic,Present,Present 20,Present 20,Present 22,Present Extra 7,12
Present 25,Epic,Present,Present 19,Present 21,,,12
Present Extra 8,Epic,Present,Present 24,Present 24,,,13
Present 26,Epic,Present,Present 20,Present 21,Present 25,,13
Present 27,Epic,Present,Present 25,Present 26,,,14
Present Extra 9,Epic,Present,Present 23,Present 25,Present 26,Present Extra 8,14
Present 28,Epic,Present,Present 23,Present 23,Present 23,,14
Present 29,Legendary,Present,Present 27,Present Extra 8,Present Extra 9,Present Extra 9,15
Present 30,Legendary,Present,Present 27,Present 28,Present 28,,15
