Result Name,Grade,Series,Material 1,Material 2,Material 3,Material 4,Tier
Weapon 1,Common,Weapon,Weapon Extra 1,Weapon Extra 1,Weapon Extra 2,Weapon Extra 3,1
Weapon 2,Common,Weapon,Weapon Extra 2,Weapon Extra 2,,,1
Weapon 3,Common,Weapon,Weapon Extra 2,Weapon Extra 2,Weapon Extra 3,Weapon Extra 3,1
Weapon 4,Common,Weapon,Weapon Extra 1,Weapon Extra 1,Weapon Extra 3,Weapon Extra 3,1
Weapon 5,Common,Weapon,Weapon 2,Weapon 3,,,2
Weapon Extra 4,Common,Weapon,Weapon 1,Weapon 3,Weapon Extra 3,,2
Weapon 6,Common,Weapon,Weapon 3,Weapon 3,Weapon 5,Weapon Extra 4,3
Weapon 7,Common,Weapon,Weapon 1,Weapon 4,Weapon 4,Weapon 4,3
Weapon 8,Common,Weapon,Weapon 6,Weapon 6,Weapon 7,Weapon 7,4
Weapon Extra 5,Common,Weapon,Weapon 5,Weapon Extra 4,,,4
Weapon 9,Common,Weapon,Weapon 8,Weapon 8,Weapon Extra 5,Weapon Extra 5,5
Weapon 10,Common,Weapon,Weapon 7,Weapon 7,Weapon 8,,5
Weapon 11,Common,Weapon,Weapon 10,Weapon Extra 5,,,6
Weapon 12,Common,Weapon,Weapon 10,Weapon 9,Weapon Extra 5,Weapon Extra 5,6
Weapon 13,Rare,Weapon,Weapon 11,Weapon 12,Weapon 12,Weapon 9,7
Weapon 14,Rare,Weapon,Weapon 10,Weapon 10,Weapon 10,,7
Weapon Extra 6,Rare,Weapon,Weapon 10,Weapon 11,Weapon 12,Weapon 9,7
Weapon 15,Rare,Weapon,Weapon 11,Weapon 12,Weapon Extra 6,,8
Weapon 16,Rare,Weapon,Weapon 13,Weapon 14,,,8
Weapon 17,Rare,Weapon,Weapon 14,Weapon 15,Weapon 15,,9
Weapon 18,Rare,Weapon,Weapon 14,Weapon 16,,,9
Weapon 19,Rare,Weapon,Weapon 17,Weapon 18,Weapon 18,,10
Weapon Extra 7,Rare,Weapon,Weapon 15,Weapon 16,Weapon 16,Weapon 17,10
Weapon 20,Rare,Weapon,Weapon Extra 7,Weapon Extra 7,Weapon Extra 7,,11
Weapon 21,Rare,Weapon,Weapon 17,Weapon 19,,,11
Weapon 22,Rare,Weapon,Weapon 19,Weapon 19,Weapon Extra 7,,11
Weapon 23,Epic,Weapon,Weapon 21,Weapon 22,,,12
Weapon 24,Epic,Weapon,Weapon 21,Weapon 21,,,12
Weapon 25,Epic,Weapon,Weapon Extra 7,Weapon Extra 7,Weapon Extra 7,Weapon Extra 7,12
Weapon Extra 8,Epic,Weapon,Weapon 20,Weapon 20,Weapon 22,,12
Weapon 26,Epic,Weapon,Weapon 24,Weapon Extra 8,,,13
Weapon 27,Epic,Weapon,Weapon 20,Weapon 22,Weapon 25,Weapon 25,13
Weapon Extra 9,Epic,Weapon,Weapon 26,Weapon Extra 8,,,14
Weapon 28,Epic,Weapon,Weapon 24,Weapon 24,Weapon 25,Weapon 27,14
Weapon 29,Legendary,Weapon,Weapon 26,Weapon 28,,,15
Weapon 30,Legendary,Weapon,Weapon 26,Weapon Extra 9,Weapon Extra 9,Weapon Extra 9,15
