Key,Language,Name,Description,
SkillNodeData r,English,Root Seed Open,Root Open!,
SkillNodeData 1,English,Maximum Range Increase,Increases the maximum item throw range.,
SkillNodeData 2,English,Minimum Range Increase,Increases the minimum item throw range.,
SkillNodeData 3,English,Movement Speed Increase,Increases the player's movement speed.,
SkillNodeData 4,English,Bag Unlock,Unlocks an additional bag.,
SkillNodeData 5,English,Bag Capacity Increase,Increases the maximum number of items the bag can hold.,
SkillNodeData 6,English,Bag Weight Limit Increase,Increases the maximum weight the bag can carry.,
SkillNodeData 7,English,Item Box Unlock,Unlocks a new item box.,
SkillNodeData 8,English,Common Recipe Unlock,Unlocks common-grade item recipes.,
SkillNodeData 9,English,Rare Recipe Unlock,Unlocks rare-grade item recipes.,
SkillNodeData 10,English,Epic Recipe Unlock,Unlocks epic-grade item recipes.,
SkillNodeData 11,English,Legendary Recipe Unlock,Unlocks legendary-grade item recipes.,
SkillNodeData 12,English,Health Increase,Increases the plant's maximum health.,
SkillNodeData 13,English,Time Increase,Increases the available time during a round.,
SkillNodeData 14,English,Enemy Spawn Interval Reduction,Reduces the time between enemy spawns.,
SkillNodeData 15,English,Enemy EXP Increase,Increases the amount of EXP gained from enemies.,
SkillNodeData 16,English,Item Enhancement,Increases the effectiveness of items.,
SkillNodeData 17,English,Special Item Enhancement,Unlocks or improves special item effects.,
SkillNodeData 18,English,Potion Unlock,Unlocks the ability to use potions.,
SkillNodeData 19,English,Potion Recipe Unlock,Unlocks potion crafting recipes.,
SkillNodeData 20,English,Potion Equipment Slot Unlock,Unlocks an additional potion equipment slot.,
